employee,customer_and_account_no,product_name,sale_date,sale_amount,units_sold,invoice_no,invoice_frequency
Bob Lob (bob.lob@korning.com),HTC (HT925638),Chimp Glass,8/5/12,"$784,832.19 ",786687,72241,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Gorilla Glass,11/5/12,"$929,984.75 ",159897,32784,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Chimp Glass,6/3/12,"$931,762.32 ",406843,18172,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Chimp Glass,3/20/12,"$180,423.86 ",271158,79853,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Gorilla Glass,10/29/12,"$141,537.14 ",848384,66111,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,8/24/12,"$319,513.87 ",398669,85058,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Chimp Glass,4/7/12,"$845,518.58 ",592776,49630,Once
Bob Lob (bob.lob@korning.com),HTC (HT925638),Orangutan Glass,1/26/12,"$801,140.19 ",707894,86085,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Gorilla Glass,2/12/12,"$177,746.43 ",249200,50326,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Chimp Glass,9/12/12,"$501,198.53 ",943083,70354,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Orangutan Glass,5/4/12,"$320,827.08 ",380492,48555,Monthly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Orangutan Glass,7/31/12,"$651,083.41 ",714925,82354,Once
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Baboon Glass,8/6/12,"$406,684.76 ",806949,51080,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Chimp Glass,2/18/12,"$820,904.74 ",573861,63590,Once
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Orangutan Glass,7/8/12,"$787,390.96 ",105782,64232,Quarterly
Bob Lob (bob.lob@korning.com),Motorola (MT928534,Gorilla Glass,6/19/12,"$673,966.01 ",338671,23383,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Chimp Glass,3/14/12,"$549,991.48 ",604214,63348,Quarterly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Orangutan Glass,3/10/12,"$665,153.79 ",867469,21424,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Orangutan Glass,12/15/12,"$957,372.82 ",337515,90995,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Chimp Glass,8/1/12,"$115,310.44 ",694560,48457,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Baboon Glass,6/19/12,"$742,964.42 ",372734,28387,Monthly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Baboon Glass,12/14/12,"$928,425.03 ",287868,89113,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Chimp Glass,1/31/12,"$449,808.16 ",718098,31602,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Orangutan Glass,11/22/12,"$737,961.89 ",959789,70488,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Chimp Glass,11/26/12,"$502,529.01 ",778607,40972,Monthly
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Baboon Glass,4/8/12,"$435,115.93 ",639203,45402,Monthly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Orangutan Glass,1/18/12,"$589,669.94 ",810844,22185,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Gorilla Glass,6/18/12,"$602,670.18 ",785589,83652,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Baboon Glass,5/26/12,"$274,162.32 ",675827,91430,Quarterly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Orangutan Glass,8/11/12,"$512,735.81 ",761426,31034,Once
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Orangutan Glass,8/1/12,"$636,448.96 ",475359,88699,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Gorilla Glass,10/4/12,"$107,415.89 ",333008,38701,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Orangutan Glass,10/28/12,"$759,047.84 ",539621,56295,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Gorilla Glass,12/3/12,"$484,528.52 ",683704,81303,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Chimp Glass,11/12/12,"$233,688.50 ",898981,47299,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Gorilla Glass,12/24/12,"$459,100.12 ",992091,80777,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Chimp Glass,5/6/12,"$759,409.99 ",783689,74476,Once
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Gorilla Glass,7/12/12,"$652,397.94 ",974046,73869,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Orangutan Glass,1/30/12,"$323,323.61 ",516852,39733,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Orangutan Glass,9/13/12,"$348,454.34 ",819082,46155,Once
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Orangutan Glass,8/17/12,"$482,584.99 ",720976,18785,Once
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,12/11/12,"$631,891.78 ",687555,44989,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Baboon Glass,5/29/12,"$606,909.44 ",398013,46858,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Chimp Glass,4/4/12,"$862,844.53 ",482294,91920,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Chimp Glass,7/18/12,"$473,287.16 ",174620,21093,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Orangutan Glass,5/12/12,"$785,146.43 ",197767,26585,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534,Baboon Glass,7/23/12,"$222,219.11 ",440778,54086,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Gorilla Glass,1/10/12,"$246,629.45 ",333012,91094,Once
Bob Lob (bob.lob@korning.com),Apple (AP512452),Gorilla Glass,8/2/12,"$545,480.51 ",376041,80073,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Orangutan Glass,5/24/12,"$125,076.31 ",964916,39624,Once
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Gorilla Glass,10/10/12,"$590,816.45 ",975008,22404,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Baboon Glass,5/21/12,"$811,896.61 ",568431,59512,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Baboon Glass,8/26/12,"$619,779.27 ",337329,58926,Once
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Gorilla Glass,10/28/12,"$296,144.82 ",440182,36604,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Baboon Glass,10/18/12,"$849,392.36 ",895126,19817,Once
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Gorilla Glass,5/24/12,"$630,804.08 ",366669,68901,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Baboon Glass,4/7/12,"$273,751.81 ",771970,47331,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Orangutan Glass,6/6/12,"$799,518.13 ",107282,23426,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Orangutan Glass,4/17/12,"$417,484.54 ",185228,19742,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Baboon Glass,6/3/12,"$470,404.62 ",802374,42896,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Baboon Glass,8/10/12,"$370,723.28 ",267496,17791,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,8/10/12,"$334,495.39 ",204143,33932,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Baboon Glass,1/3/12,"$326,134.09 ",354447,41691,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Chimp Glass,4/3/12,"$477,323.16 ",281855,84692,Monthly
Bob Lob (bob.lob@korning.com),Motorola (MT928534,Gorilla Glass,2/29/12,"$684,195.64 ",391418,87834,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Baboon Glass,8/13/12,"$543,742.62 ",845401,22815,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Gorilla Glass,8/28/12,"$434,438.99 ",731549,90736,Monthly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Baboon Glass,10/15/12,"$899,109.14 ",377126,81422,Monthly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Baboon Glass,5/15/12,"$713,286.58 ",898088,66665,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Baboon Glass,10/31/12,"$688,424.09 ",379870,17620,Once
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Orangutan Glass,8/25/12,"$417,309.72 ",117560,62371,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Gorilla Glass,1/14/12,"$551,408.69 ",144636,74246,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Chimp Glass,6/30/12,"$204,972.94 ",876648,90652,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Gorilla Glass,10/8/12,"$427,120.28 ",857274,49597,Quarterly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Orangutan Glass,12/30/12,"$809,398.36 ",540717,32366,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534,Gorilla Glass,1/6/12,"$194,309.11 ",558763,59092,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Chimp Glass,9/26/12,"$961,605.60 ",864413,76980,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Gorilla Glass,6/2/12,"$602,635.21 ",995067,81981,Monthly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Gorilla Glass,12/1/12,"$356,397.09 ",886558,75911,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Orangutan Glass,2/19/12,"$785,616.08 ",912552,20166,Monthly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Orangutan Glass,1/3/12,"$915,807.64 ",456037,79875,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Baboon Glass,6/14/12,"$706,314.96 ",519045,90498,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Orangutan Glass,8/11/12,"$401,116.31 ",787104,23398,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Gorilla Glass,3/21/12,"$174,658.57 ",116867,45894,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,7/3/12,"$978,487.98 ",263332,32185,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Baboon Glass,2/25/12,"$207,877.72 ",344324,21272,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Baboon Glass,1/19/12,"$296,334.33 ",344602,68303,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Chimp Glass,10/16/12,"$510,091.69 ",188104,67599,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Orangutan Glass,12/4/12,"$959,937.05 ",420806,56010,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534,Gorilla Glass,9/26/12,"$632,352.30 ",139846,38434,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Gorilla Glass,6/18/12,"$187,263.86 ",958005,63576,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Orangutan Glass,2/15/12,"$579,220.39 ",493521,45334,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Orangutan Glass,6/5/12,"$900,883.72 ",652562,52069,Once
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,11/3/12,"$428,735.85 ",239219,43011,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Baboon Glass,10/26/12,"$845,625.96 ",643328,34734,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Chimp Glass,9/8/12,"$803,299.34 ",250023,56666,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Gorilla Glass,3/11/12,"$235,515.19 ",729353,60719,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Orangutan Glass,3/7/12,"$388,570.43 ",653899,83088,Monthly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Gorilla Glass,9/14/12,"$571,106.03 ",234718,64087,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Baboon Glass,12/24/12,"$260,491.19 ",342246,56458,Quarterly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Baboon Glass,1/9/12,"$128,772.05 ",960517,41164,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Baboon Glass,3/14/12,"$838,309.69 ",861138,18630,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Gorilla Glass,12/1/12,"$908,603.53 ",103447,36866,Monthly
Bob Lob (bob.lob@korning.com),LG (LG858843),Baboon Glass,11/30/12,"$958,487.26 ",134594,58092,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Chimp Glass,12/30/12,"$760,544.15 ",220627,82065,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Gorilla Glass,5/30/12,"$438,153.59 ",854978,21494,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Gorilla Glass,3/30/12,"$360,141.13 ",808831,51555,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Orangutan Glass,4/22/12,"$809,228.99 ",444645,44275,Monthly
Bob Lob (bob.lob@korning.com),LG (LG858843),Orangutan Glass,10/26/12,"$311,547.36 ",547969,72235,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Orangutan Glass,6/26/12,"$471,540.94 ",673118,76071,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Gorilla Glass,4/15/12,"$821,331.89 ",657899,29253,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Gorilla Glass,8/5/12,"$438,133.42 ",633040,67288,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Gorilla Glass,7/27/12,"$144,056.19 ",450386,81104,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534,Gorilla Glass,9/13/12,"$587,431.06 ",404640,30891,Once
Bob Lob (bob.lob@korning.com),Apple (AP512452),Baboon Glass,10/28/12,"$902,266.56 ",978626,88587,Once
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Gorilla Glass,4/6/12,"$506,608.57 ",620787,72057,Monthly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Baboon Glass,11/23/12,"$706,864.68 ",447157,17566,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Gorilla Glass,6/9/12,"$341,762.57 ",104636,34610,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Orangutan Glass,10/15/12,"$398,731.54 ",706184,72574,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Gorilla Glass,11/18/12,"$581,697.56 ",571611,58170,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Chimp Glass,1/4/12,"$879,444.97 ",404979,83384,Once
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Orangutan Glass,8/1/12,"$744,845.75 ",309399,21874,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Gorilla Glass,8/7/12,"$789,990.61 ",553938,65480,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Chimp Glass,4/27/12,"$895,000.76 ",452276,64614,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Orangutan Glass,8/2/12,"$382,241.65 ",727541,37942,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Baboon Glass,8/22/12,"$229,030.65 ",584229,41681,Once
Bob Lob (bob.lob@korning.com),HTC (HT925638),Orangutan Glass,9/3/12,"$910,338.12 ",645139,90109,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Gorilla Glass,11/24/12,"$136,384.94 ",917600,35806,Quarterly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Chimp Glass,10/17/12,"$514,665.92 ",797029,19037,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Orangutan Glass,7/15/12,"$995,531.60 ",106183,24097,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Chimp Glass,4/1/12,"$830,223.71 ",930013,69276,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Baboon Glass,10/18/12,"$903,053.41 ",590837,75948,Once
